,Symbol,Security
234,HON,Honeywell
235,HRL,Hormel Foods
236,HST,Host Hotels & Resorts
237,HWM,Howmet Aerospace
238,HPQ,HP Inc.
239,HUBB,Hubbell Incorporated
240,HUM,Humana
241,HBAN,Huntington Bancshares
242,HII,Huntington Ingalls Industries
243,IBM,IBM
244,IEX,IDEX Corporation
245,IDXX,Idexx Laboratories
246,ITW,Illinois Tool Works
247,INCY,Incyte
248,IR,Ingersoll Rand
249,PODD,Insulet Corporation
250,INTC,Intel
251,ICE,Intercontinental Exchange
252,IFF,International Flavors & Fragrances
253,IP,International Paper
254,IPG,Interpublic Group of Companies (The)
255,INTU,Intuit
256,ISRG,Intuitive Surgical
257,IVZ,Invesco
258,INVH,Invitation Homes
259,IQV,IQVIA
260,IRM,Iron Mountain
261,JBHT,J.B. Hunt
262,JBL,Jabil
263,JKHY,Jack Henry & Associates
264,J,Jacobs Solutions
265,JNJ,Johnson & Johnson
266,JCI,Johnson Controls
267,JPM,JPMorgan Chase
268,JNPR,Juniper Networks
269,K,Kellanova
270,KVUE,Kenvue
271,KDP,Keurig Dr Pepper
272,KEY,KeyCorp
273,KEYS,Keysight Technologies
274,KMB,Kimberly-Clark
275,KIM,Kimco Realty
276,KMI,Kinder Morgan
277,KKR,KKR
278,KLAC,KLA Corporation
279,KHC,Kraft Heinz
280,KR,Kroger
281,LHX,L3Harris
282,LH,LabCorp
283,LRCX,Lam Research
284,LW,Lamb Weston
285,LVS,Las Vegas Sands
286,LDOS,Leidos
287,LEN,Lennar
288,LII,Lennox International
289,LLY,Lilly (Eli)
290,LIN,Linde plc
291,LYV,Live Nation Entertainment
292,LKQ,LKQ Corporation
293,LMT,Lockheed Martin
294,L,Loews Corporation
295,LOW,Lowe's
296,LULU,Lululemon Athletica
297,LYB,LyondellBasell
298,MTB,M&T Bank
299,MPC,Marathon Petroleum
300,MKTX,MarketAxess
301,MAR,Marriott International
302,MMC,Marsh McLennan
303,MLM,Martin Marietta Materials
304,MAS,Masco
305,MA,Mastercard
306,MTCH,Match Group
307,MKC,McCormick & Company
308,MCD,McDonald's
309,MCK,McKesson Corporation
310,MDT,Medtronic
311,MRK,Merck & Co.
312,META,Meta Platforms
313,MET,MetLife
314,MTD,Mettler Toledo
315,MGM,MGM Resorts
316,MCHP,Microchip Technology
317,MU,Micron Technology
318,MSFT,Microsoft
319,MAA,Mid-America Apartment Communities
320,MRNA,Moderna
321,MHK,Mohawk Industries
322,MOH,Molina Healthcare
323,TAP,Molson Coors Beverage Company
324,MDLZ,Mondelez International
325,MPWR,Monolithic Power Systems
326,MNST,Monster Beverage
327,MCO,Moody's Corporation
328,MS,Morgan Stanley
329,MOS,Mosaic Company (The)
330,MSI,Motorola Solutions
331,MSCI,MSCI
